Profession,Average,Men rate,職業,Occupation,Total Employed,Women Percent,Men Percent,White Percent,Black or African American Percent,Asian Percent,Hispanic or Latino Percent
radio technician,4.88,64.6666666666667,無線電技術員,Radiologic technologists and technicians,259,70.3,29.7,82.5,8,6.8,12.6
chiropractor,4.95,65.8333333333333,脊醫,Chiropractors,60,41.1,58.9,83.6,6.6,7.1,0.7
executive,4.95,65.8333333333333,高階主管,Chief executives,1780,30.6,69.4,85.8,5.2,7.3,6.3
chef,4.98,66.3333333333333,廚師,Chefs and head cooks,476,23.3,76.7,58.8,18.9,18.5,20.7
computer programmer,5,66.6666666666667,電腦程式設計師,Computer programmers,402,21.5,78.5,66.1,6.5,24.2,9.9
tailor,5.03,67.1666666666667,裁縫師,"Tailors, dressmakers, and sewers",51,81.4,18.6,79.9,6.3,12.5,28.6
bartender,5.08,68,酒吧調酒師,Bartenders,408,50.8,49.2,85.9,7.3,3.1,22.3
surgeon,5.08,68,外科醫生,Surgeons,59,20,80,75,5.7,18.6,2.5
movie director,5.1,68.3333333333333,電影導演,Producers and directors,167,43.6,56.4,80.4,12.1,5.3,11
painter,5.15,69.1666666666667,畫家,Painters and paperhangers,561,10.4,89.6,90.2,5.5,0.4,60.6
dentist,5.28,71.3333333333333,牙醫,Dentists,164,39.5,60.5,77.2,4.3,14.5,8
architect,5.33,72.1666666666667,建築師,"Architects, except landscape and naval",203,31,69,83.6,3.5,10.1,11.3
groundskeeper,5.48,74.6666666666667,園丁,Landscaping and groundskeeping workers,1119,7.3,92.7,84,8.6,1.7,49.6
police officer,5.5,75,警察,Police officers,702,14.4,85.6,81.4,14.2,2.8,16.7
janitor,5.63,77.1666666666667,清潔工,Janitors and building cleaners,2204,38.7,61.3,76.2,16.7,2.6,35.1
rancher,5.63,77.1666666666667,牧場主,"Farmers, ranchers, and other agricultural managers",876,27.4,72.6,96.2,1.4,0.8,6.4
bell hop,5.65,77.5,旅館行李員,"Baggage porters, bellhops, and concierges",78,29.1,70.9,65.5,20.2,11,34.7
coach,5.68,78,教練,Coaches and scouts,288,40.9,59.1,74.7,14.6,5.6,14.4
drafting worker,5.7,78.3333333333333,起草員,Other drafters,98,20.5,79.5,88.6,3.2,8.2,8.9
pilot,5.7,78.3333333333333,飛行員,Aircraft pilots and flight engineers,211,8.3,91.7,92.4,3.6,2.7,10.7
probation officer,5.73,78.8333333333333,緩刑官,Probation officers and correctional treatment specialists,77,57.4,42.6,62.6,34.9,1.1,15.9
highway worker,5.75,79.1666666666667,高速公路工人,Highway maintenance workers,93,2.2,97.8,84.3,11,2.6,20.8
stone cutter,5.83,80.5,石匠,"Brickmasons, blockmasons, and stonemasons",117,1.5,98.5,93.4,1.1,0,50.5
logger,5.93,82.1666666666667,伐木工,Logging workers,58,1.7,98.3,94,3.4,0,13.6
private detective,5.95,82.5,私家偵探,Private detectives and investigators,123,43,57,73.5,19.2,3.1,10.4
electrician,6,83.3333333333333,電工,Electricians,959,2.9,97.1,87.3,6.7,1.6,24.6
